session;created;modified;ended;expired;Gender;Arbeit;Orga;LaBot;Orga_pre;Orga_during;Orga_2019;Team_neg;Work_2019;TN_gut;TN_schlecht;Regeln;Box;Location_Fr;Musik_Fr;Publikum_Fr;Musik_Sa;Location_Sa;Publikum_Sa;Nicetohave;Generell
openSilverDollarXXXieW1lz7qMAQFfxeqyKeGTPlP_F2Xt3rv3iDikOx1iT5fp;09.12.2018 16:12;09.12.2018 20:01;09.12.2018 20:01;;2;4;4;3;Aufgaben stärker verteilen.;"Eis an der Bench
Zuverlässige Internetlösung an den Benches";"Wieder einen Notfallsani
Besserer Glühwein";Lautern (Herren);3;Mett, Lost and Found, Verspätungsanzeige;Verspätungen;;Ja um den Sport in den Vordergrund zu stellen.;5;5;5;5;5;5;Weniger trinken, stärkerer Fokus auf den Sport;Ein schönes Turnier. Leider zu viel Alkohol bei Teilnehmenden und Helfenden.
LdR1x7e9VcfBL_oqosWFB0PigY3CWS6DdAfykytkGPxz-_v4TyHOV89uaKnSh5C5;09.12.2018 19:53;09.12.2018 20:07;09.12.2018 20:07;;3;3;3;3;-;Weniger Erwartungshaltung während des ganzen Turniers anwesend zu sein. Klare Trennung von Schichten und Freizeit. Möglichst Vermeidung von (zu viel) Bereitschaft, besonders wenn die nicht kommuniziert wird.;"Klare Kommunikation wann man wo sein muss. wenige Änderungen des Schichtplans. Klare Kommunikation wann man frei hat. Klare Kommunikation was und wann Bereitschaft ist. Möglichs wenig Traffic in Chatkanälen. Nur Essentielles.
Benutzung von Walky Talkys.";"K-Town zu viel Alkohol
Grizzlies zu viel Alkohol.
";3;Verkaufsangebot, Stimmung bei den Verkaufenden und Helfenden.;Musik am SA soll nicht gut gewesen sein(?). ;;;4;3;4;5;5;5;"Isotonische Sportgetränke
Sichtbare Shotclock
Evtl größere Location für Freitag
DJ für Freitag
";-
6GtejHkCT3uGKTYboaRyjF1KaxC3_-10unrhYS-LznCUX9OzAiORslkMMqNwH8Uy;09.12.2018 20:39;09.12.2018 21:33;09.12.2018 21:33;;2;2;3;3;Was wird anders sein als zum lb17;Ihr habt das super gemacht. ;"Der Umstieg auf einen digitalen Spielplanaushang (Beamer) ist Ansich super, allerdings ist der schedule für die Kürze des Switches zu unübersichtlich gewesen. Daher halte ich einen analogen aushang des game und refschedule trotz Beamer für unverzichtbar.
Das welcome Banner ist ne coole Sache, würde mir aber die Anschaffung von Masten dafür wünschen, da das befestigen und lösen am Baum sehr gefährlich ist.
Hatte außerdem das Gefühl, dass der Aufbau am Freitag länger gedauert hat als die Jahre davor, gab ja auch mehr ""features"" (abgerundete Ecken auf den feldern, pommes, spühlbare becher). Einfach nur darauf achten, dass es für das helferteam nicht zu viel wird bzw. Überlegungen, wie der Aufbau aller Dinge vereinfacht\verschnellert werden könnte. ";Nein. ;2;Die teilnehmenden fanden das Turnier sehr schön, nur den freihafen vllt. Darauf hinweisen, dass zur welcomeparty mehr thekenpersonal eingeplant wird, weil man sehr lange auf die drinks warten musste. ;Over and back nach Schüssen, die nicht goalie oder pipes getroffen haben, sollte beibehalten werden. ;;"Pro: mischregeln finden viele Herren eher schlecht. Man merkt schon, dass trotz feldregeln härter als Feld gespielt werden will und auch wird.
Contra: - wir haben so schon Schwierigkeiten, genug refs für das Turnier zu engagieren, (gute) boxrefs gibt es (noch) viel weniger als Feldrefs -> es gäbe zu wenige refs für ein lb nach boxregeln.
- wir haben inzwischen eine gewisse ""stammkundschaft"" (Bs, Blax, ktown, grizzlies, Aachen ect.). Wir würden mit boxregeln andere Teams ansprechen (orange warriors (NL-natio), tschechische Teams, die boxteams der dlaxv indoor Liga). Bei den bisherigen LBs sah ich die Teams auf einem guten, ausgeglichenem Level. Das würde sich verschieben, was dem Turnier nur schaden kann, wenn box unerfahrene kaiserslauterer auf (übertriebenes Beispiel) die radotin custodes stoßen würden. Würde keinem der Teams Spaß machen.
- wir müssten von den Spielern natürlich auch verlangen, ribpads und so zu tragen, was Spieler davor abschrecken würde, zu uns zu kommen (gölax Spieler z. B. sehen das immer als hindernis, bei BROLG mitzumachen), die feldregeln haben bisher keinen zurückgehalten ;) 
Summa summarum: 1x pro, 3x contra boxregeln ";4;4;4;4;4;4;Preise auch für die 2. Und 3. Plätze, sonst räumen retronixen und Blax alles ab und der Rest kriegt nichts, sprich: vielleicht kleinere knackis (20cm für p2 und 10 für p3 so als Idee) ;Hat wie immer spaß gemacht. 
5Sm1SB133C3Kl1JccZ2nCWFPJjb2oO82xV7Rf-gPb_P5xFR6Ktr0jINp80YSJ5mb;09.12.2018 20:42;09.12.2018 20:49;09.12.2018 20:49;;1;3;4;4;Technische Einweisung beim Benchen;Wunschlos glücklich;Labot zu erweitern, sodass man weiß, wer einen ablöst;Nein;2;Service, Essensauswahl,Stimmung;Aus der Halle geschmissen zu werden;Keine Ahnung wie die alten waren ;;4;4;4;3;4;3;Angezeigte shotclock;Hat mega Spaß gemacht :)
o8ep1IIhySp01YwnxldBKOG-iJKAcwRA6_859Wl7fi-xSm8l6GfLbxVfNXYa_7k8;09.12.2018 21:05;09.12.2018 21:12;09.12.2018 21:12;;2;3;4;3;Klarere Aufgabenbeschreibung;"Erinnerungen (LaBot Push Nachricht) mit den Schichten für den nächsten Tag
";"Basics zuverlässiger erledigen (Spielbetrieb) 
Fancy shit on top ";"Kaiserslautern 
Scotland
Dortmund ";4;Details ;Herrenregeln;;"Ja, weil klarere Erwartung für Spieler und refs 
Nein, wenige refs in Deutschland, wenige Teams in deutschland, Konkurrenz mit TLT";4;4;3;2;4;4;"Mehr Deko
";-
xjg1doDMc14WuUxugDdJhte_KbHmw-Qqz5CJcKcL2nh6Xebzu0Lb9zA-qwuVk0g0;09.12.2018 21:31;09.12.2018 21:52;09.12.2018 21:52;;1;3;3;3;-;-;Ich finde, dass das Abbauen teilweise etwas chaotisch war. Mit klaren Ansagen wäre es vllt etwas schneller gelaufen.;Einige Kabinen wurden sehr unordentlich hinterlassen, die Teams weiß ich leider nicht mehr;2;Das Buffet und die Liebe zum Detail;-;Gut, ich habe allerdings keinen Vergleich zu den 'alten';;4;3;4;3;4;4;-;Gelungene Veranstaltung :)
P7MGKKTneMNilnv1QOooYC6Par8x7j7uUdYEkrn92fmzOD7VjwbrCRzjSYfCE5jN;09.12.2018 21:33;09.12.2018 21:48;09.12.2018 21:48;;1;3;4;3;Beim Helfertreffen genaue Anweisung was an welcher Station erledigt werden soll;"Die Orga sollte während des Turniers keine ""normalen"" Schichten übernehmen müssen (z.B. Lena an der bench), sondern sich voll und ganz auf ihre Orgaaufgaben konzentrieren können";"Noch mehr Liebe

Im bot auf die einzelnen zu besetzenden Stationen zugreifen zu können um zu sehen wer grade arbeiten sollte/als nächstes kommt";Nein;2;Die Liebe zum Detail der Orga;Frühes Räumen der Schlafplätze (lässt sich aber nicht ändern);Richtig nice;;4;3;3;4;4;4;"Jugendmannschaft Gö Lax
Noch mehr/cooleres merci (Socken,...)";Keine
zWHN6kutVb6zP2-Dn-Ay127OhmqAFjyjjkMGvX7Kt37MdCDilxUyUQHHVfHkoLwr;10.12.2018 07:49;10.12.2018 07:55;10.12.2018 07:55;;1;2;3;4;.;.;.;.;2;Die gute Organisation, großes Lob an das Orgateam ;.;.;;5;5;5;5;5;5;.;.
54OvE3bMfZ6LUvV7zc9GVyw4Cmya76IkiW26jl_dPcHkISgiqsb0eMbZgKoF8aMQ;10.12.2018 07:52;10.12.2018 08:01;10.12.2018 08:01;;2;2;4;3;Nichts;Nichts;Nichts;Nein;2;Essen;Spielplan Verspätung;;Nein den meisten mangelt es an Ausrüstung daher sind Verletzungen vorprogrammiert ;5;5;5;5;5;5;Alles was es dieses Jahr auch gab;Good job
dLGH7LnB6ZulXig0iVnYhpDsyxv8d_aXyuNrmBpk5MAMFreOyDK7c4G2DIYOHGkO;10.12.2018 10:37;11.12.2018 12:23;11.12.2018 12:23;;1;3;4;3;. ;. ;Im Vorfeld klarere Beschreibung der einzelnen Aufgaben;K-Town schon bei der Ankunft betrunken, wurde nur schlimmer;3;"Liebe zum Detail
Partys fußläufig erreichbar ";"Digitaler Spielplan zu kurz zu sehen
Änderungen/Korrekturen am Spielplan nicht ausreichend kommuniziert ";. ;;5;5;5;5;5;5;"Im LaBot nicht nur Personen, sondern auch Orte/Schichttypen abrufen können

Frühstück drinnen und draußen, damit Schlange kürzer ";"Gelungene Veranstaltung!

Sponsoring dieses Jahr ganz stark, insbesondere Rewe! "
ManGIQYnMZHoRn6swmf16jeS_3y3kkbhwmPT6fxi0yIETKTFioXmUydJx_LI1mq3;10.12.2018 11:15;10.12.2018 11:20;10.12.2018 11:20;;2;3;3;3;Termin im LSG war hilfreich und schön kurz.;Alles topp;Mehr Fokus auf guten Sport und weniger auf gutes Catering/Saufen;Dortmund und Kaiserslautern waren nur voll;3;Catering;Regeln Herren;;Nein, wir haben kein Box-Team und keine Bix-Halle;5;5;5;5;5;5;2 Vollzeitrefs pro Spiel, Teams, denen es ums Zocke geht und nicht ums Saufen;Mehr Sportfokus, weniger Festival. Ein Saufturnier holt mich nicht ab.
CEFIP_dDUSSR8TOHf9kF-hAZzMv8Ns6mZrGpMVgTtrZBV-o2_1-sUCiP9qh7TD5X;10.12.2018 11:36;10.12.2018 11:47;10.12.2018 11:47;;2;4;4;3;/;/;"Getränke Preise anheben für alkoholische Getränke. Bei 1€ für Glühwein überrascht es nicht das manche Helfer und Spieler Samstag nicht spiel- bzw. arbeitsfähig waren. 
Spielplan und Ergebnisse wieder auf Papier bringen.";"Kein Team ist negativ aufgefallen, jedoch sollte man den Gästen klar machen, dass es kein reines Sauf-Turnier ist. 
Sollten auch manchem unserer Helfer erklärt werden.";2;Organisation, Catering ;/;;"Nein, Box Regeln würden wahrschinlich einige Mannschaften/Spieler abschrecken die damit nicht vertraut sind. 
";3;3;3;3;4;4;/;/
552nC8DVWAYE7ZONtuHr5uxVfxGDICfEl2iAC3uElHi2YScQWsxsqR3TjxjAGi0J;10.12.2018 11:42;10.12.2018 11:53;10.12.2018 11:53;;1;3;3;4;Konkretere Infos zu den einzelnen Schichten ;Explizitere Aufgabenverteilung;Verbesserte Koordination beim Abbau;Nein;2;Atmosphäre;Nichts;Gut! ;;4;4;3;4;4;4;"Glitzernde Crewshirts!  
Vorherige Absprache für Übernahme der Schichten während der eigenen Spiele";War nice! 
WXqpGVnlNfnR-GzTf_iPT87Www0ZDR0i2ws5D4kSEJaB4x1rTGpApFhmec7MjjuY;10.12.2018 19:07;10.12.2018 20:38;10.12.2018 20:38;;2;2;4;3;...;...;...;Nein;2;Die gute Organisation und das man sich gut informieren konnte wann man spielt.;Nichts;;"Sollten sie nicht 
Pro: es gibt subjektiv mehr Spieler die feldregeln besser finden; weniger Verletzungen
Jeder kennt feldregeln gerade bei den teamrefs.Es gibt ein Winter Turnier für Feldspieler. ";3;5;5;5;4;5;" Team songs mit den Namen der Teams 
Inkl kompletter Song. ";Es war mir eine Freude. Danke an die orga. 
WkqPhsqnf1IGpBsqfjI643dqmcLNKqIFpY1BbliS0J0Oa4Cbi4MpHnYsOd0FsSYC;11.12.2018 12:19;11.12.2018 12:24;11.12.2018 12:24;;1;3;3;3;Tipps und Anweisungen für die verschiedenen Stationen;- (ihr hattet viel zu tun, aber es war trotzdem alles ok);Mehr Anweisungen auch beim Aufbau, damit nicht wieder nur 5 Leute dastehen ;Nein;2;Das Essensangebot;Schnelligkeit bei Speisen und Funktion der Anzeigetafeln in den Hallen ;Gut ;;5;5;5;3;3;4;-;Super Orga! Danke!
rJ8Yqva2H9jhbMshBRcJke_I9ru_DWbTM3KIzExcTggqBkL5OKtuXTk_aeWrUDJ2;11.12.2018 15:26;11.12.2018 15:35;11.12.2018 15:35;;2;3;3;3;.;.;.;.;2;.;Unsportliches Verhalten auf dem Feld, überzogene Härte;;Nein auf keinen Fall. Verletzungsgefahr so schon erhöht durch Alkohol und Boxmanieren, stattdessen stärkeres Durchgreifen durch refs veranlassen.;4;3;3;3;3;3;Ergänzend zu Schichten anwesend/abwesendheits Zeiten. -> Ruhepausen in denen man nicht genötigt wird einzuspringen;Weniger mexi, mehr Hemmingway gegebenenfalls als einzel Zutaten mit Rückgabemöglichkeit
KfBQYBaSK2JUdbUNjscmzDHcKjvfUN_8zKs-gPlnv5ShFZC3BnBs5LrPcLDyRF-c;11.12.2018 20:50;11.12.2018 21:07;11.12.2018 21:07;;2;2;3;4;Alles top;Alles top;Vergleichbare Kompetenz;Nein;2;Verpflegung;Regelwerk (Goalies, Box-Field-Hybrid);;Nein, unnötige Härte, da größtenteils auch kein passendes Equipment (Rippad etc.) vorhanden;4;4;4;3;2;3;Mehr Schlaf, mehr internationale Teams;Starke Orga-Leistung
